strain	temp	timepoint	OD600	od_factor	total_time_h	time_since_dil_h	blank_od	timestamp	date	batch	MPN
ST00060	32	t_4	0.4293333333333339	2.66666666666667	48	24	0	14:05:00	2024-03-28	SHP1	NA
ST00060	32	t_5	0.36533333333333384	2.66666666666667	72	48	-0.001	14:02:00	2024-03-29	SHP1	NA
ST00101	32	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00101	32	t_1	0.046	1	4	4	0.001	17:58:00	2024-03-26	SHP1	NA
ST00101	32	t_2	0.3	5	20	20	0.001	10:53:00	2024-03-27	SHP1	NA
ST00101	32	t_3	0.396	2	24	24	0.001	13:54:00	2024-03-27	SHP1	NA
ST00101	32	t_4	0.39200000000000046	2.66666666666667	48	24	0	14:05:00	2024-03-28	SHP1	NA
ST00101	32	t_5	0.3066666666666671	2.66666666666667	72	48	-0.001	14:02:00	2024-03-29	SHP1	NA
ST00042	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00042	28	t_1	0.499	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00042	28	t_2	0.45799999999999996	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00042	28	t_3	0.599	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00046	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00046	28	t_1	0.295	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00046	28	t_2	0.214	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00046	28	t_3	0.19	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00060	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00060	28	t_1	0.693	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00060	28	t_2	0.662	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00060	28	t_3	0.388	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00094	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00094	28	t_1	0.615	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00094	28	t_2	0.613	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00094	28	t_3	0.539	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00101	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00101	28	t_1	0.414	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00101	28	t_2	0.41	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00101	28	t_3	0.363	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00109	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00109	28	t_1	0.078	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00109	28	t_2	0.04700000000000001	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00109	28	t_3	0.044	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00110	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00110	28	t_1	0.189	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00110	28	t_2	0.217	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00110	28	t_3	0.225	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00143	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00143	28	t_1	0.126	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00143	28	t_2	0.11000000000000001	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00143	28	t_3	0.095	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00154	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00154	28	t_1	0.326	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00154	28	t_2	0.38799999999999996	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00154	28	t_3	0.32	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00164	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00164	28	t_1	0.703	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00164	28	t_2	0.626	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
